CD3only_CD8_V7_1	CD3only_CD8_V7_2	CD3only_CD8_V7_3	CD3only_CD8_V7_4	fulldel_CD8_V7_1	fulldel_CD8_V7_2	fulldel_CD8_V7_3	fulldel_CD8_V7_4
FNDC10	2.29559061550453	2.53700224702916	2.52931540724541	2.29352774828445	2.42670200155311	2.48132278188198	2.34880664975816	2.29260591921093
MIB2	2.80067011397725	2.77119646189633	2.67398993226803	2.60152411244885	2.68472677662572	2.80545374784179	3.0439576889791	2.60012671572901
MMP23B	0	0	0	0	0	0	0	0
CDK11B	8.29656700998249	8.10209591079526	8.42297308431508	7.24699714128008	8.40760303198271	8.51443837783615	8.25620963812512	7.01083935099704
SLC35E2B	7.0578048601287	7.66418762618838	7.26359221381137	7.30182227523518	8.07076268606588	7.9406268132464	7.92957440385134	7.39409015301188
CDK11A	2.95990577961544	2.98855574286474	2.91849264246591	3.02954179540181	3.018657480474	2.96161909674135	2.95244886622345	3.08030147273587
NADK	6.5482551933189	6.38897362317075	6.59405624087628	5.79569623178377	6.57092457653908	5.99575441220768	6.41616498407219	5.95699871031101
GNB1	10.8069659952224	11.1346056213131	10.9362253101718	11.1381985401799	10.8272343300102	10.6762108097952	10.7758355712784	11.1165603218832
CALML6	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	0	0	0
CFAP74	-0.80070535550159	-0.753893596067574	-0.760805362567827	-0.804577459008576	-0.804699548257435	-0.804669185869797	-0.804730726589417	-0.804681499634105
GABRD	-0.971221179209267	-0.901630179952342	-0.976103435971611	-0.976444882640914	-0.976576287454053	-0.976543583545055	-0.960876613915908	-0.976556844952688
PRKCZ	3.3348231470452	3.00731937418727	3.14212154826442	3.00518362476329	3.31875931425844	3.29113833099902	3.27074414688734	3.20013030082027
FAAP20	6.27775437751204	6.12771714059182	5.51234841570737	4.90997960840754	6.29045512917853	5.84885405819249	6.28981302009	5.55436717562971
SKI	6.63258390214497	6.68684366599275	7.22351400934817	7.20420248802701	6.75465675139139	6.87351756520516	6.78873325562331	6.72239636149214
MORN1	3.14652975171231	2.87140222193838	3.50741295725258	3.24812496549105	2.99403688270477	2.88850697550789	2.98227271288757	2.866929790702
RER1	9.77024641543297	10.0556425085965	8.59902907941412	8.4348207642757	10.5319189591662	9.71661510731247	10.5903112972935	8.0423222545615
PEX10	2.68527903098309	3.53502777978109	2.71274415769005	2.67947334613195	3.37109622564646	2.72789697964601	2.69708769126049	2.67683348196713
PLCH2	2.23926983607479	2.84899260729899	2.23638954452048	2.26337845521164	2.34718347132867	2.42900752936423	2.269972916763	2.27634372944612
PANK4	7.35228947993276	7.75632112394437	6.62648664556637	6.12576394991924	8.18855306531809	8.07131721890359	8.33005943269128	6.02700817645469
HES5	0	0	0	0	0	0	0	0
TNFRSF14	8.75423748332781	8.85615281161436	8.70696904761855	6.74883382571868	8.82420608400878	8.55101688832222	8.8341528968395	7.25856473830609
PRXL2B	3.81461231479209	3.97836529475269	3.77450120631201	4.03307160272675	4.12512869464777	4.43534527447587	4.09191018597236	4.0063084254839
MMEL1	0	0	0	0	0	0	0	0
TTC34	0.413404648759175	0.466892903353446	0.412896690216104	0.569180851658987	0.41258530843647	0.412655346177	0.412513385912113	0.429210440230424
ACTRT2	0	0	0	0	0	0	0	0
PRDM16	-1.34548750201719	-1.37088906711314	-1.39676858138497	-1.3971104832468	-1.40039815245514	-1.3998548311369	-1.40043897428184	-1.40027426572613
ARHGEF16	0	0	0	0	0	0	0	0
MEGF6	1.17758278036961	1.10477218092242	1.41743309720465	1.10416363639829	1.13924514252474	1.10371199448086	1.10340830770912	1.10365127288372
TPRG1L	6.07955362341024	5.89709208233929	6.67913167277271	6.29407971007037	6.11317164713861	6.46312731104419	6.43153936682715	6.33805454491685
WRAP73	7.23976200430022	7.52919514211191	7.3113227216698	6.38189767886445	7.68634836974106	7.63199184692253	8.12968453140391	6.52222415030119
TP73	3.81359461031575	3.44394111704955	3.90829001001938	3.64356143907003	3.96732403603251	3.87087808729099	3.43663576275389	3.64585865176122
CCDC27	0	0	0	0	0	0	0	0
SMIM1	-1.23917611617807	-1.24053511899028	-1.24219840549636	-1.24241607542176	-1.2437882249461	-1.22978431247157	-1.20958490811639	-1.24377948293802
LRRC47	8.44723741348299	8.2317269752686	8.64872982349186	7.95894673197188	7.94174846492554	7.86460085631436	8.06236507362615	8.14825810427192
CEP104	8.05138298766997	8.0840696341871	7.70152069921053	7.18647543634943	7.41044966562507	7.9968378190621	7.76606775820957	7.68758850090531
DFFB	6.31320436864217	5.65007180312304	6.61443452357318	5.83067039803024	6.86843967670171	6.43011619508334	6.82822837664982	7.05920783773062
C1orf174	8.64819858177498	8.67728136830781	8.73404800759685	8.83694933514531	9.05673446866005	8.42036061872758	8.98064817924512	8.75253072726334
AJAP1	-1.40240755529879	-1.40378965256104	-1.40548120441489	-1.37557360119822	-1.40807612545382	-1.39241495205154	-1.40809543698712	-1.40775100666762
NPHP4	6.13190881091869	6.29853448975502	5.25852083136723	5.34185431299073	5.66616116015994	5.94277601755219	5.81726162314349	5.85384743372588
KCNAB2	8.72700908173237	9.21195215789762	8.76618697665482	8.53134879814366	9.17316049187558	9.34511344498721	9.12570377776843	8.71116967860959
CHD5	1.62522930596002	1.62450647119195	1.92911167768646	1.81609282950237	1.65754131010047	1.62307268484072	1.6226621707627	1.67714048533916
RPL22	10.5493298896722	10.3242308396287	10.5340822070702	10.8062566118634	10.2829632232874	10.0868868561771	10.0107121321638	10.2234379504956
RNF207	2.79374120682383	2.48543356573413	2.30311568473367	2.24962152533075	2.28638108423334	2.34875761850435	2.28245497374446	2.24831295305063
ICMT	7.6456510113943	7.54937852377874	8.09475706616451	7.52569914147638	7.48683216534421	7.86519976802206	7.86855247482378	8.06026666662335
HES3	-1.7834573271811	-1.78448616787519	-1.76331719805057	-1.78591015648148	-1.78774436626498	-1.7872328642531	-1.78832013961472	-1.78743502134581
GPR153	3.61129726513319	3.82181803254284	3.82629778812525	3.73139915649196	4.12748640689417	3.4241927644568	3.457015454644	3.66843788190193
ACOT7	10.2667373814595	10.3865282590703	9.34740237628011	8.6733943259134	10.8666667990716	10.6355542015153	10.903976926942	9.25717949455871
HES2	-0.689360175653768	-0.691776828537374	-0.692644436493712	-0.589883261391657	-0.692792345912911	-0.692759076794103	-0.692826510622663	-0.692772569234446
ESPN	-1.78345702570698	-1.78447131249862	-1.77465724881557	-1.7748197059704	-1.78768342066106	-1.78717915431785	-1.78825104916466	-1.78737845171166
TNFRSF25	4.76271532040949	5.6740866778119	4.56000763159349	4.81394953200065	5.77937828015042	4.51768170603686	6.43516818626684	4.37355063415985
PLEKHG5	2.13222294830199	2.00611006042715	2.16814423386168	1.97242027540405	2.14842197616758	1.94991175148316	1.94948363680061	1.9498261059851
NOL9	9.96117326999447	9.45461996718614	9.86687452484552	10.1332423296086	9.42906448472478	8.83991080296707	9.39236245951449	9.45976966533775
TAS1R1	0	0	0	0	0	0	0	0
ZBTB48	7.11984527233227	6.49541533000738	7.19339019038224	5.35950386404092	7.16709560447581	7.15061628042618	7.26775660275863	5.93237398990814
KLHL21	7.48309282941683	6.81760052090001	8.08248266869906	7.67227501331321	7.10287967829159	6.92399698194259	7.28284863985109	7.25453177282248
PHF13	6.121593280284	5.85605017769289	6.70885575889029	6.25016573414404	5.38542245948813	4.96695573772328	4.67000549747452	4.72340093400477
THAP3	7.4549940487407	7.22736354641266	8.0271469715135	6.33257108191639	7.47913370874388	7.93489636040069	7.96155492551761	7.44117902345522
DNAJC11	8.65476470195011	8.71375456174175	8.88254617016112	8.61057042124495	8.74811421799344	8.36255217313303	8.40297023949246	7.53198523637852
CAMTA1	9.77898172505467	9.76383446604877	9.41267129359025	9.52794419732422	9.16883138215365	9.43697724617726	9.36809226825867	8.97952053821256
VAMP3	9.63879115704363	9.96604664705923	9.89654064481494	9.87925586145907	9.95007293896265	9.84827405552437	9.84511079904201	10.1129732100667
PER3	8.5130548505046	8.63828919391928	8.50502613101892	8.76461778428276	8.80637777019205	8.35313230391813	8.40568452671994	8.66832507860744
