CD3only_CD8_V7_1	CD3only_CD8_V7_2	CD3only_CD8_V7_3	CD3only_CD8_V7_4	fulldel_CD8_V7_1	fulldel_CD8_V7_2	fulldel_CD8_V7_3	fulldel_CD8_V7_4
CFAP74	0	2.64323123649192	2.11156069066441	0	0	0	0	0
GABRD	0	3.96484685473788	0	0	0	0	0.667028202363038	0
PRKCZ	17.4657358299517	0	6.33468207199324	0	16.2616086431795	14.5757801445149	13.3405640472608	9.37308242569852
FAAP20	109.557797478788	88.5482464224794	30.617630014634	2.05040601007974	110.874604385315	57.4933550144753	110.726681592264	33.5868786920864
SKI	84.1530908170401	91.1914776589713	184.761560433136	180.435728887017	100.526307976019	118.225772283287	105.39045597336	96.0740948634099
MORN1	12.702353330874	0	36.9523120866272	18.4536540907177	5.17414820464802	0.809765563584159	4.66919741654126	0
RER1	954.264293981908	1255.53483733366	284.004912894363	235.79669115917	1960.26300553236	905.31790008709	2068.45445552778	147.626048204752
PEX10	0	47.5781622568546	1.05578034533221	0	34.0015453448298	1.61953112716832	0.667028202363038	0
PLCH2	0	34.362006074395	0	1.02520300503987	4.43498417541259	8.09765563584159	1.33405640472608	1.56218040428309
PANK4	166.718387467721	261.6798924127	66.514161755929	29.7308871461562	410.9752002549	364.394503612872	474.25705188012	24.9948864685294
HES5	0	0	0	0	0	0	0	0
TNFRSF14	503.330750735881	557.721790899796	479.324276780822	42.0333232066347	539.589741341865	408.121844046416	544.962041330602	91.3875536505606
PRXL2B	4.76338249907774	13.2161561824596	3.16734103599662	16.4032480806379	22.1749208770629	46.9664026878812	20.0108460708911	14.8407138406893
