Costimonly_CD8_V7_1	Costimonly_CD8_V7_2	Costimonly_CD8_V7_3	Costimonly_CD8_V7_4	fulldel_CD8_V7_1	fulldel_CD8_V7_2	fulldel_CD8_V7_3	fulldel_CD8_V7_4
PRDM16	1.04170538981459	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	0	0	0
MEGF6	7.29193772870211	0	0	2.72217074464638	1.77910439215275	0	0	0
TPRG1L	159.380924641632	222.38977815628	162.279019842779	187.8297813806	71.1641756861099	121.467556548724	117.189703665829	98.4719177224097
WRAP73	250.009293555501	123.954958316615	115.130385699269	82.5725125876069	296.220881293432	277.917769383482	481.690092309202	63.8243911163767
TP73	5.20852694907293	0	3.28943959140768	6.35173173750823	35.5820878430549	27.2087326669143	0	10.9413241913789
CCDC27	0	0	0	0	0	0	0	0
SMIM1	0	0	0	0	0	0.971740452389796	2.42461455860336	0
LRRC47	335.429135520297	390.093545290524	544.950492309872	452.787733859515	268.644763215065	244.878594002229	310.350663501231	329.151502757314
CEP104	516.685873348035	285.582502003966	271.927006223035	147.90461045912	173.462678234893	343.996120145988	267.515806299238	235.238470114645
DFFB	159.380924641632	104.511043286558	144.735342021938	74.4060003536678	183.247752391733	102.032747500929	175.38045307231	224.297145923267
C1orf174	443.766496061014	528.631439879682	478.065220617916	470.028148575609	708.973100272869	359.543967384224	660.303364792983	501.477358771531
AJAP1	0	0	0	0	0	0.971740452389796	0	0
NPHP4	156.255808472188	88.7128623246362	18.6401576846435	24.4995367018174	53.3731317645824	85.513159810302	70.3138221994976	72.0303842599108
KCNAB2	1015.66275506922	992.854911222298	651.309039098721	583.451929602541	749.002949096306	888.170773484273	718.494114199464	448.594291846533
CHD5	20.8341077962917	0	0	0	1.77910439215275	0	0	2.73533104784471
RPL22	1247.96305699788	1252.91727474931	1437.48510144516	1391.93664076252	1468.65067572209	1200.0994587014	1118.55551636902	1342.13576747581
RNF207	88.5449581342399	53.4707663326574	201.752294939671	113.423781026933	1.77910439215275	4.85870226194898	1.61640970573558	0
ICMT	484.393006263783	272.214810420802	373.899633556673	562.581953893586	186.805961176038	293.465616621718	297.419385855346	356.504813235761
HES3	0	0	0	0	0	0	0	0
GPR153	14.5838754574042	0	10.9647986380256	29.9438781911102	51.5940273724296	0	1.61640970573558	12.7648782232753
