Costimonly_CD8_V7_1	Costimonly_CD8_V7_2	Costimonly_CD8_V7_3	Costimonly_CD8_V7_4	fulldel_CD8_V7_1	fulldel_CD8_V7_2	fulldel_CD8_V7_3	fulldel_CD8_V7_4
ACAP3	3.30159421265603	3.37471504545786	3.29565870191303	3.3162731924989	3.3764184723077	3.39230256026119	3.35031843333397	3.28326108201794
PUSL1	5.15684816150913	5.10590714318879	5.1184032837268	5.00613499954906	5.30878432709151	5.23727381854083	5.46837441069639	4.99241287262392
INTS11	9.72111673650434	9.61166482311404	9.24108786671316	9.20802056935176	9.81392479489205	9.85330277245973	9.7111295675307	8.86743471010153
CPTP	4.93934238938225	4.78186694306684	4.72220624318808	4.68303731985176	4.87917258917113	4.74860157353475	4.96925472396344	4.64357679789073
TAS1R3	0.894502160346334	0.92987315676771	0.894522180217697	0.894452820863616	0.970419644226798	0.894476503416182	0.894416158270782	0.894454437892453
DVL1	3.1014800556498	3.08553898000597	3.08907643624651	3.15578184238259	3.08647576026181	3.04789027048793	3.20582156436096	3.05419966685087
MXRA8	0.219077906587888	0.219117269435028	0.235227840014628	0.219047191994337	0.219043096399899	0.25446133988558	0.23698034351781	0.219048198597132
AURKAIP1	9.57157068695162	9.44189479363565	8.04143469632177	8.04830752125653	9.52734978892438	9.34637985263084	9.77697454805166	7.6792321975033
CCNL2	10.0169839160698	9.61280107376378	9.5543760616867	9.80404182920098	9.5216053409624	9.71887674471433	9.91938015607159	9.37836429837323
MRPL20	10.8970658769687	10.7229474208656	10.9118843395411	11.0072549736291	10.628172848711	10.6774227575944	10.7019182598285	10.665354387766
ANKRD65	-1.76178940398057	-1.76150775285477	-1.76169573292083	-1.76204172778388	-1.76207801929468	-1.75460497121528	-1.76225331772791	-1.76203291221446
TMEM88B	0	0	0	0	0	0	0	0
VWA1	-0.357679124823633	-0.402833820079432	-0.402851325753445	-0.402879424466989	-0.402882089740333	-0.402869830479417	-0.402894276282139	-0.402878769403802
ATAD3C	2.60455109316026	2.52280249811405	2.52266607752016	2.58196285158288	2.54239333035139	2.66873495155075	2.52233124504096	2.56282435612352
ATAD3B	5.90889690910148	6.0030342951904	5.89427525288156	5.81747576719425	5.9667856271019	6.22604126619558	6.15562742169617	5.57963131415202
ATAD3A	5.10144440894372	5.22098537907358	5.06996658771527	4.99144873787317	5.23850567439441	5.13056223073603	5.35328080271216	4.93931268569289
TMEM240	0	0	0	0	0	0	0	0
SSU72	10.7317260376198	10.6352222003859	10.4146314988451	10.5118567921814	10.5565700091798	10.6132332804291	10.6703164797982	10.2628972753942
FNDC10	2.21255318966299	2.25154450738503	2.19004553182516	2.18167345772284	2.23991577092256	2.26494828264079	2.20570275092182	2.18167747090063
MIB2	2.96982322336932	3.08109339569869	2.95426733790888	2.96766241076706	2.9871159408374	3.03804298546654	3.15269806107601	2.95397574585284
MMP23B	0	0	0	0	0	0	0	0
CDK11B	8.38744379866295	8.32251326523298	7.69758808516498	7.70118469518685	8.54105873372265	8.63128748603152	8.41639229522904	7.40649298275983
SLC35E2B	7.77765752445425	7.47161114528233	7.97639391203062	8.02389588610823	8.3119890424881	8.20070169625992	8.19882911513886	7.74366303752001
CDK11A	3.7034664783269	3.54002426945506	3.50010930150565	3.47166501095892	3.54445934756565	3.51703590815497	3.51320533664059	3.57197012192314
NADK	6.96107603593958	7.10896332512001	7.00815798610536	6.90120938962503	6.96431048405818	6.57922579231318	6.85802936615227	6.54662729073039
GNB1	11.2845240978549	11.341953481571	11.4213113824174	11.5102305656129	11.1163297804533	10.9643938815424	11.0724736039282	11.3694761840611
CALML6	-0.357679124823633	-0.402833820079432	-0.402851325753445	-0.402879424466989	-0.402882089740333	-0.402869830479417	-0.402894276282139	-0.402878769403802
TMEM52	0	0	0	0	0	0	0	0
CFAP74	0	0	0	0	0	0	0	0
GABRD	-2.12168042794121	-2.12156229430148	-2.12164113925315	-2.12178626074834	-2.12180148258795	-2.12173373135247	-2.12034166439711	-2.1217825632119
