Full_CD8_V7_1	Full_CD8_V7_2	Full_CD8_V7_3	Full_CD8_V7_4	fulldel_CD8_V7_1	fulldel_CD8_V7_2	fulldel_CD8_V7_3	fulldel_CD8_V7_4
MIB2	2.3122461742201	2.0843991236797	2.08182730477055	2.73152676376136	2.38631454234585	2.72300963000204	3.2326466096712	2.08229476118416
MMP23B	0	0	0	0	0	0	0	0
CDK11B	7.23757823375776	6.52744357996115	6.97676184499872	8.85088857892248	8.54394380800275	8.66941745803262	8.36894550736275	6.85568271567072
SLC35E2B	7.10909095406382	5.90491451839078	6.87279745779394	7.34575466630099	8.25974856564834	8.11098472626581	8.09321906582481	7.46643320235263
CDK11A	3.56122375961968	3.66347658885585	4.00840414922246	3.59345233872821	3.57973956455334	3.43402617276324	3.4069742967639	3.73397662391251
NADK	4.55619454925516	5.32633622393342	6.38559773810595	6.80740907034581	6.70403827519927	5.89165798454896	6.49534871550665	5.84403792640443
GNB1	11.6420661603033	11.2349602391838	11.2791768320718	11.0543311063348	11.0465132258877	10.8901209050778	10.991019606691	11.3724938862181
CALML6	0	0	0	0	0	0	0	0
TMEM52	-1.17224031375762	-1.1816148885108	-1.00538151900311	-1.1855617964521	-1.1856142741058	-1.18403251069902	-1.18568202512553	-1.18456165350338
CFAP74	0	0	0	0	0	0	0	0
GABRD	-2.14046410057524	-2.14256700218564	-2.14338482726738	-2.14345237131271	-2.14363373077322	-2.14310932242168	-2.13312143729948	-2.14322801956633
PRKCZ	2.27126568048807	2.26270968170092	2.26007497016653	2.39414623604849	3.13378195228214	3.07616969469732	3.02936080429897	2.87142823249744
FAAP20	5.23200904613948	5.2318689652984	5.46832658992469	6.27728973949808	6.57985001730282	5.98225975227377	6.57786337498866	5.54688682960471
SKI	6.53270726409052	6.61735111694983	6.49555381030923	6.83107664107158	6.82130609668319	6.9773762454433	6.86485013423552	6.79569117773819
MORN1	1.83525767366465	2.12092603784865	2.3789122037137	2.24208711548265	2.15815400420634	1.89140286567512	2.13127765418332	1.82987963748176
RER1	9.39051401067872	8.40217391882276	8.40608458840217	10.0270056326898	10.7679712655348	9.90149554642291	10.8284987002215	8.03823758043918
PEX10	1.81070867504076	2.08402828520778	1.79618712411709	2.80676398629368	3.35459800538956	1.98221662359296	1.87544606911495	1.79681551691575
PLCH2	1.408533308581	1.58307260484448	1.51231439164046	1.55921986675338	1.68046604815093	1.85308140421488	1.49801831707082	1.51523771141748
PANK4	5.18208907830265	5.90733216169184	4.84536121160205	7.46466130458128	8.33939271894721	8.20870789787677	8.49931317198297	5.54453876807684
HES5	0	0	0	0	0	0	0	0
TNFRSF14	5.6450480001055	5.85278672974847	6.32093478341545	8.32886947685323	8.81460296632083	8.50709811246706	8.82469409491373	6.94930701670409
PRXL2B	5.1139554189379	4.98814433640307	4.88175239443727	3.75915223094308	4.70725952170114	5.25865152289296	4.63975213950394	4.46951721994107
MMEL1	-1.78157870738227	-1.78633005745222	-1.78817787250932	-1.7382289461639	-1.78874025150225	-1.78755538976387	-1.79003927337839	-1.78782357715015
TTC34	-0.742265739694335	-0.976844667532771	-0.977579381077581	-0.977596383392654	-0.977641098759117	-0.977508016139765	-0.977774199635512	-0.912235273395751
ACTRT2	0	0	0	0	0	0	0	0
PRDM16	-2.11790832162125	-2.14354755340527	-2.14513725778657	-2.14526855122229	-2.14562108128696	-2.14460172608175	-2.14673865025576	-2.14483245191188
ARHGEF16	0	0	0	0	0	0	0	0
MEGF6	-0.00117779673692973	0.108879713655206	-0.0023143437079443	0.252597753069986	0.0907923205455489	-0.00222924353471907	-0.00254629970967004	-0.00226639476852676
TPRG1L	4.832339737612	6.92637755426917	7.13520144254121	6.72855767329567	6.24178069823023	6.74286261506389	6.69533787498766	6.58379232019123
WRAP73	5.8885485883426	6.21705823534489	5.98532013889639	7.52685317606738	7.81940461848697	7.75826012440458	8.33560220723943	6.34251530852819
TP73	2.63355747868204	2.79757940175956	2.84145526602448	3.89168457117206	3.98183376905792	3.80250974721693	2.60923213499933	3.30762395438492
CCDC27	0	0	0	0	0	0	0	0
SMIM1	0.0990288232993932	0.0978275344935368	0.0974618236904074	0.458954010387841	0.0973601048984642	0.156725393347368	0.235912291927877	0.0975281245248423
LRRC47	8.3700215930499	7.90939537557598	8.22087476946966	7.92189840370412	8.04388981797356	7.9564523240903	8.18402190028267	8.30303008741575
CEP104	7.96937702272383	7.39505436368901	7.84903209643627	7.29906107544317	7.49632090785724	8.20069606282872	7.92460568393933	7.85057245673643
DFFB	7.53233617293223	7.161543852714	5.95403795804274	7.21826005275913	7.35334364445034	6.7923267401676	7.301879816145	7.60668233879279
C1orf174	8.22293509271651	8.42207404048988	8.65975002629169	8.7157510687671	9.23912448644704	8.52387377180775	9.15356331252888	8.91839947716949
